supplier_name,awarded_amt
ags consultants pte. ltd.,9000.0
ah boon civil engineering & building contractor pte ltd,47355000.0
ai4r,325965.0
aig asia pacific insurance pte. ltd.,2550994.35
aig edenspiekermann limited,796960.0
aik leong plumbing construction pte ltd,73610575.0
aik moh paints & chemicals pte ltd,142207.5
aik san construction pte ltd,750000.0
aik sun demolition & engineering pte ltd,4240750.0
aikly paints and chemical pte ltd,1000.0
aim fire systems & engineering pte. ltd.,568800.0
aims productions llp,252990.0
air & air services pte ltd,1135776.0
air liquide singapore private limited,19331136.849999998
air products singapore industrial gases pte. ltd.,243048.0
air transport training college pte ltd,104000.0
air venture airconditioning pte ltd,725743.0
airborne support group llc,257779.55
airbus asia training centre pte. ltd.,104800.0
airelated services pte. ltd.,248333.0
airfresh building services pte. ltd.,955484.0
airport equipment services pte ltd,150300.0
airverclean pte ltd,99569.0
aitbiotech pte. ltd.,433305.16
aitech mechatronics (s) pte. ltd.,270000.0
aitech robotics and automation pte. ltd.,601603.0
aj jetting pte. ltd.,273600.0
"aja international, inc.",521832.66000000003
akeles consulting pte. ltd.,301480.0
akrobat pte. ltd.,387145.0
akt creations,234820.0
albert pang transport,280800.0
alc technologies pte ltd,431000.0
alcotrad pte. ltd.,366350.0
alfa laval singapore pte ltd,654000.0
alfa tech vestasia pte. ltd.,2123921.5
algreat sales & services sdn. bhd.,5539.85
align sma pte. ltd.,556196.6799999999
alkalom eclat,263500.0
alkalom eclat pte. ltd.,123810.5
all construction engineering pte. ltd.,165000.0
all defence technology pte. ltd.,120123.01
all eights (singapore) private limited,564238.0
all link(21) engineering pte ltd,6250000.0
"all real technology co., ltd",406619.2
all-best photocopy & printing,136654.34
allan defence technologies pte. ltd.,195180.0
allen & gledhill llp,149477.0
alliance consulting engineers pte. ltd.,8387342.0
allied moving services (s) pte. ltd.,242450.0
allied transmissions (s.e.a.) pte ltd,1193300.0
allied universal security service,268404.71
"allied universal security, llc",284246.16
allison+partners singapore pte. ltd.,81600.0
allmaster enterprise,4818107.1
alniff industries pte ltd,573150.0
alpha analytical (s) pte ltd,3439183.0
alpha media pte ltd,68.0
alpha pioneer marketing pte ltd,21439.5
alpha products and systems pte ltd,1511135.0
alphine builders pte. ltd.,0.0
als technichem (singapore) pte ltd,628468.0
alsale holdings pte. ltd,98660.0
alsco pte. ltd.,92097.0
alsoknownas pte. ltd.,1144050.0
alstern technologies singapore pte. ltd.,3056800.0
alto construction and engineering services pte. ltd.,186500.0
altrus pte ltd,3418561.0
altus facilities engineering pte. ltd.,1147800.0
always 3ree pte. ltd.,1110661.0
alx private limited,236490.0
amazing explorer pte. ltd.,170890.0
amcon integration llp,268986.0
amdon consulting pte ltd,301250.0
amico technology international pte. ltd.,926087.8
amicus engineering pte ltd,969497.28
amitie international pte. ltd.,1896943.78
amnet technology pte ltd,64430.0
amobee group pte. ltd.,1260030.0
amphiro ag,805800.0
an academy pte. ltd.,270220.0
anacle systems limited,1682768.0
analytical technologies pte ltd,4221222.5
anavantage management consultancy llp,174800.0
ancell enterprise pte ltd,50102.25
anchorage construction co pte ltd,3395600.0
ancon anda pte. ltd.,11800000.0
andes appraisal pte. ltd.,288000.0
andritz singapore pte. ltd.,5788670.0
android builder pte. ltd.,379000.0
anexus pte. ltd.,1977721.0000000002
ang & ong consultants pte. ltd.,5722300.0
ang cheng guan construction pte ltd,22900000.0
ang kuah trading company,388003.5
animagine pte ltd,914250.0
anmani general construction pte. ltd.,4480000.0
anne leong hrd consulting,1268274.0
annesing pte. ltd.,253000.0
anonymous production,105500.0
anritsu pte ltd,54728.0
ansac technology (s) pte ltd,2120912.0
ansell protective solutions singapore pte. ltd.,1537200.0
antara koh private limited,9022841.0
antarius is pte. ltd.,81800.0
ante office pte. ltd.,520899.0
antechnic engineering pte ltd,45.68
anthology pte. ltd.,1005576.95
anticimex pest management pte. ltd.,497840.0
anton paar singapore pte. ltd.,398957.2
antzworkz consultants pte. ltd.,183000.0
aon hewitt singapore pte. ltd.,1142151.0
apba pte. ltd.,1152121.96
ape works pte. ltd.,886781.5
apex projects pte. ltd.,688000.0
apex sealing technologies pte. ltd.,300000.0
apex tennis,51200.0
apf construction pte. ltd.,2514839.0
aphesys networks pte. ltd.,216673.5
apkim resources,568560.0
aplusi asia pte. ltd.,93538.0
app systems services pte. ltd.,888740.03
apparel empire,163051.0
applied accounting solutions private limited,3460.0
apptitude pte. ltd.,203050.0
apro-asian protection pte ltd,2900680.0
aptitude management consulting pte. ltd.,167580.0
aquaforce private limited,718148.0
"aquarecycle, llc",236448.0
ar43 architects pte. ltd.,6.55
arachem (m) sdn. bhd.,63750.15
arbsolutions asia pte. ltd.,695700.0
arburg pte ltd,428751.0
arc sciences pte. ltd.,1059978.4
arcadis project management pte. ltd.,560004.2
arcadis singapore pte. ltd.,2270801.86
arch'lab pte. ltd.,154000.0
archi-theme partnership,4090.0
architects 61 private limited,23695893.88
architects project group llp,7.11
architects team 3 pte. ltd.,0.0
architects vista pte ltd,568507.96
archville architects,95590.0
ardent business advisory pte. ltd.,28000.0
ardent maritime singapore pte. ltd.,22050.5
aretese pte. ltd.,306380.0
arethos pte. ltd.,60000.0
argentra solutions pte. ltd.,248000.0
arina international holding pte. ltd.,457650.0
aris integrated medical pte. ltd.,184176.0
aristou pte. ltd.,848780.0
arkadin (singapore) pte. ltd.,0.6
arki-tech international pte ltd,125000.0
armstrong talent development,262500.0
arqon pte. ltd.,230000.0
arrowcrest technologies pte ltd,3207840.0
art glass solutions pte. ltd.,193380.0
art in bloom florist & gifts,85256.0
art loft llp,117600.0
art logica,890820.0
artex furnishings private limited,105427.0
arthur j. gallagher (singapore) pte. ltd.,16300.0
artistic expressions private limited,250400.0
artizen pte. ltd.,825580.0
arts wave,103230.0
arup singapore private limited,11851722.639999999
arup singapore private limited and aedas pte. ltd.,12288000.0
as-1 logistics pte. ltd.,369624.0
asa contracts pte. ltd.,14538770.0
asatsu-dk singapore pte. ltd.,244854.27
asc process systems limited,390541.0
ascendas services pte ltd,10850000.0
ascendo consulting pte. ltd.,86400.0
ascentia consulting pte. ltd.,203432.74
ascentiq pte. ltd.,3233300.0
asec security events command pte. ltd.,80000.0
aseptec pte. ltd.,440359.07
asero worldwide ltd,585000.0
ashtree international pte. ltd.,1943869.0
asia city online singapore pte. ltd.,86911.0
asia georesearch agency corporation pte ltd,383726.0
asia innovations pte. ltd.,164980.0
asia integrated property services pte. ltd.,78000.0
asia intergrated engineering pte. ltd.,237300.0
asia masima pte. ltd.,398500.0
asia pacific air quality group pte. ltd.,420323.0
asia pr werkz pte. ltd.,1791790.0
asia projects engineering private limited,22744160.0
asiabuild construction pte. ltd.,25100000.0
asiabuild enterprises pte ltd,239800.0
asialink w pte. ltd,332641.2
asian detours pte. ltd.,67841.0
asiapac distribution pte ltd,10318255.92
asiasoft solutions pte. ltd.,167236.0
asiastar international consultancy pte. ltd.,440549.6
asiatel(s) pte ltd,521725.0
asiawerkz communications pte. ltd.,306788.0
asis technologies pte ltd,218420.0
ask m&e pte. ltd.,6244000.0
asl shipyard pte ltd,678215.0
asp print consultus pte. ltd.,122768.0
aspacio design associates pte ltd,6183866.0
aspen event planners pte. ltd.,295.0
aspen3 pte. ltd.,873260.0
aspeq limited,3397000.0
aspire badminton centre,66300.0
aspire! group pte. ltd.,636467.28
asr building & conservation pte. ltd.,378230.0
